archivo,line_count,keyword_count,unique_keywords,nested_structures,complex_constructs,score
repo1/get_hour_day_option_value.f90,160,40,14,10,0,258
repo1/globecom.f90,33,23,6,0,0,68
repo1/group_prod.f90,20,17,4,0,1,48
repo1/grx_captrade.f90,927,243,16,91,0,1475
repo1/grx_data.f90,12,10,5,0,0,32
repo1/grx_electric.f90,23,8,6,1,0,46
repo1/grx_extend.f90,225,60,9,31,0,396
repo1/grx_planning_routines.f90,546,183,14,38,0,871
repo1/grxmodules.f90,397,107,16,23,0,605
repo1/hesi.f90,50,27,8,3,0,102
repo1/hesi_el.f90,5,3,3,0,0,14
repo1/hesi_gendecs.f90,5,6,4,0,0,19
repo1/hesi_i4.f90,12,8,4,0,0,28
repo1/hourly_products_data.f90,31,17,7,0,0,62
repo1/hourlyproductsdata.f90,23,10,6,0,0,45
repo1/icap_io.f90,809,187,18,83,10,1311
repo1/icap_results.f90,17,7,3,0,0,30
repo1/icap_summary_report.f90,666,176,13,26,0,946
repo1/in_objt.f90,951,238,20,74,18,1505
repo1/interg82.f90,171,42,11,15,1,283
repo1/internal_operation_switches.f90,6,4,4,0,0,18
repo1/iostatmsg.f90,9,5,4,0,0,22
repo1/irec_endpoint_control.f90,148,60,11,21,0,293
repo1/kepcocom.f90,78,19,7,0,0,111
repo1/kootenay.f90,32,19,8,1,0,70
repo1/lamcom.f90,16,7,5,0,0,33
repo1/lcarry.f90,10,3,3,0,0,19
repo1/lmg_objt.f90,883,219,17,42,25,1337
repo1/logging.f90,199,92,13,15,0,362
repo1/logging_decs.f90,6,5,5,0,0,21
repo1/lpintcom.f90,12,8,7,0,1,37
repo1/lpmatinv.f90,381,184,15,50,2,751
repo1/lpsolver.f90,1445,851,23,280,43,3311
repo1/mainovl.f90,145,47,10,7,7,254
repo1/margnobj.f90,6630,1146,23,573,53,9700
repo1/mastr.f90,54,45,4,0,0,107
repo1/mcbtnmcom.f90,36,31,6,0,0,79
repo1/midas_decs.f90,30,11,5,4,0,63
repo1/midasmod.for,3284,821,22,175,70,4884
repo1/midasmod_decs.f90,14,11,5,0,0,35
repo1/midasxp.f90,80,31,10,5,0,146
repo1/miscmod.f90,403,184,18,42,0,749
repo1/mk_fileio.f90,74,37,8,2,0,133
repo1/mmrev_decs.f90,8,2,2,0,1,17
repo1/mod_base_year.f90,14,11,5,0,0,35
repo1/modules.f90,435,142,16,43,1,741
repo1/month_extra.f90,46,24,6,0,0,82
repo1/monthly_icap.f90,5,3,3,0,0,14
repo1/msg_win_api_calls.f90,13,8,4,0,0,29
repo1/msgandec.for,578,214,19,27,4,923
repo1/msgindex.f90,508,151,18,34,5,812
repo1/msgmmadm.f90,2895,570,19,315,46,4586
repo1/msgmmasb.for,374,118,17,22,9,619
repo1/msgmmcom.f90,1231,284,17,177,4,2092
repo1/msgmmcom.for,1305,223,13,178,4,2100
repo1/msgmmdbt.for,5992,803,23,544,60,8653
repo1/msgmmdbt_decs.f90,167,29,7,0,0,210
repo1/msgmmdfd.f90,2092,366,20,164,21,3053
repo1/msgmmea.f90,2037,457,19,207,19,3210
repo1/msgmmexprevcash.f90,5953,913,21,488,43,8501
repo1/msgmmfa.f90,6604,1354,22,630,55,10057
repo1/msgmmfa_cash.f90,5,4,3,0,0,15
repo1/msgmmfv.f90,1297,474,22,138,32,2325
repo1/msgmminp.for,1501,77,13,27,8,1709
repo1/msgmmout.for,10306,923,20,577,97,13291
repo1/msgmmpyb.f90,843,165,20,64,14,1282
repo1/msgmmrev.f90,7411,1424,23,480,100,10621
repo1/msgmmsb6.for,13918,1091,24,586,39,16932
repo1/msgmmsb6b.f90,2762,399,20,162,27,3768
repo1/msgmmtax.f90,2949,652,21,316,52,4747
repo1/msgnorm.f90,1318,387,23,99,7,2069
repo1/msgold95rw.f90,297,138,18,17,8,546
repo1/msgoutpt.f90,2627,355,25,115,13,3416
repo1/msgoutpt_data.f90,28,19,6,0,0,59
repo1/msgoutpt_decs.f90,21,8,6,1,0,44
repo1/msgprosymrevexp.f90,501,142,17,40,9,824
repo1/mthnmcom.f90,707,609,4,2,0,1330
repo1/mwunih.f90,28,19,6,0,1,62
repo1/namescom.f90,427,340,4,1,0,778
repo1/newpkshf.f90,671,140,16,70,0,1053
repo1/nunits_shared.f90,28,15,8,1,1,65
repo1/objtfunc.f90,299,59,12,16,4,442
repo1/objtfunc_decs.f90,56,21,7,2,0,97
repo1/ouc_parameters.f90,28,24,2,0,0,56
repo1/p_fuel_annl.f90,29,18,5,0,0,57
repo1/palo_alto_mod.f90,44,38,3,0,0,88
repo1/params.f90,30,14,8,0,0,60
repo1/paramscom.f90,3,2,2,0,0,9
repo1/parms.f90,57,45,4,0,0,110
repo1/period_cl_report_pclr.for,6735,1093,19,288,13,8769
repo1/pf_objt.f90,640,210,18,57,15,1102
repo1/picadisp.f90,1675,359,21,143,17,2556
repo1/pm_hack.f90,9,6,5,0,0,25
repo1/pms.f90,9,4,3,0,0,19
repo1/pn_objt.f90,1795,143,17,34,9,2101
repo1/poolcom.f90,27,18,4,0,1,56
repo1/postfix.f90,356,96,13,27,7,580
repo1/pp_objt.f90,3136,355,20,47,138,4086
repo1/pp_objt_interfaces.f90,8,7,4,0,0,23
repo1/prim_mover_idx.f90,250,58,12,20,0,392
repo1/prngener.f90,49,26,11,5,2,118
repo1/pro_cost.for,3969,1147,23,366,31,6353
repo1/procost_data.f90,4,3,3,0,0,13
repo1/prod2com.f90,27,8,4,0,0,43
repo1/prod_arrays_dimensions.f90,38,45,6,0,0,95
repo1/prodcom.f90,120,97,7,0,0,231
repo1/production.f90,29,20,8,1,0,68
repo1/program_state.f90,765,644,16,48,0,1585
repo1/rdi_objt.f90,2015,245,19,51,30,2541
repo1/reaenrg.for,4406,666,16,263,10,5923
repo1/reference_loads.f90,10,6,3,0,0,22
repo1/reference_loadsi2.f90,11,6,3,0,0,23
repo1/report_header.f90,6,2,2,0,0,12
repo1/res_decs.f90,24,13,7,3,0,60
repo1/retslcom.f90,10,9,5,0,1,32
repo1/rollscom.f90,22,13,5,0,0,45
